date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
2005-01-15,Wheat flour - Wholesale,KG,cereals and tubers,1347.33,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-02-15,Wheat flour - Wholesale,KG,cereals and tubers,1345.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-03-15,Wheat flour - Wholesale,KG,cereals and tubers,1339.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-04-15,Wheat flour - Wholesale,KG,cereals and tubers,1355.67,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-05-15,Wheat flour - Wholesale,KG,cereals and tubers,1353.6,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-06-15,Wheat flour - Wholesale,KG,cereals and tubers,1355.83,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-07-15,Wheat flour - Wholesale,KG,cereals and tubers,1356.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-08-15,Wheat flour - Wholesale,KG,cereals and tubers,1320.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-09-15,Wheat flour - Wholesale,KG,cereals and tubers,1331.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-10-15,Wheat flour - Wholesale,KG,cereals and tubers,1359.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-11-15,Wheat flour - Wholesale,KG,cereals and tubers,1362.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2005-12-15,Wheat flour - Wholesale,KG,cereals and tubers,1363.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-01-15,Wheat flour - Wholesale,KG,cereals and tubers,1357.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-02-15,Wheat flour - Wholesale,KG,cereals and tubers,1358.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-03-15,Wheat flour - Wholesale,KG,cereals and tubers,1377.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-04-15,Wheat flour - Wholesale,KG,cereals and tubers,1321.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-05-15,Wheat flour - Wholesale,KG,cereals and tubers,1350.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-06-15,Wheat flour - Wholesale,KG,cereals and tubers,1589.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-07-15,Wheat flour - Wholesale,KG,cereals and tubers,1594.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-08-15,Wheat flour - Wholesale,KG,cereals and tubers,1605.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-09-15,Wheat flour - Wholesale,KG,cereals and tubers,1602.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-10-15,Wheat flour - Wholesale,KG,cereals and tubers,1602.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-11-15,Wheat flour - Wholesale,KG,cereals and tubers,1619.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2006-12-15,Wheat flour - Wholesale,KG,cereals and tubers,1608.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2007-01-15,Wheat flour - Wholesale,KG,cereals and tubers,1672.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2007-02-15,Wheat flour - Wholesale,KG,cereals and tubers,1650.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
2007-03-15,Wheat flour - Wholesale,KG,cereals and tubers,1650.0,COP,Colombia,Antioquia,935,Medellin,842,58,14,5,1,842_58_14_5,
